TimeSinceFirstPos,DetectionSpeed,n_low,N,prop_low
0,Frequent testing (≤1 days since last non-positive PCR); n=27,1,27,0.037037037037037035
1,Frequent testing (≤1 days since last non-positive PCR); n=27,4,20,0.2
2,Frequent testing (≤1 days since last non-positive PCR); n=27,6,22,0.2727272727272727
3,Frequent testing (≤1 days since last non-positive PCR); n=27,6,25,0.24
4,Frequent testing (≤1 days since last non-positive PCR); n=27,4,22,0.18181818181818182
5,Frequent testing (≤1 days since last non-positive PCR); n=27,4,25,0.16
6,Frequent testing (≤1 days since last non-positive PCR); n=27,1,24,0.041666666666666664
7,Frequent testing (≤1 days since last non-positive PCR); n=27,1,23,0.043478260869565216
8,Frequent testing (≤1 days since last non-positive PCR); n=27,1,24,0.041666666666666664
9,Frequent testing (≤1 days since last non-positive PCR); n=27,1,26,0.038461538461538464
10,Frequent testing (≤1 days since last non-positive PCR); n=27,0,25,0
11,Frequent testing (≤1 days since last non-positive PCR); n=27,0,22,0
12,Frequent testing (≤1 days since last non-positive PCR); n=27,0,20,0
13,Frequent testing (≤1 days since last non-positive PCR); n=27,0,21,0
14,Frequent testing (≤1 days since last non-positive PCR); n=27,0,19,0
15,Frequent testing (≤1 days since last non-positive PCR); n=27,0,19,0
0,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",21,70,0.3
1,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",28,55,0.509090909090909
2,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",24,53,0.4528301886792453
3,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",23,57,0.40350877192982454
4,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",11,59,0.1864406779661017
5,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",9,64,0.140625
6,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",4,63,0.06349206349206349
7,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",3,63,0.047619047619047616
8,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,64,0
9,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,61,0
10,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,58,0
11,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,50,0
12,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,47,0
13,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,48,0
14,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,45,0
15,"Testing due to symptoms or contact 
(≥2 days since last non-positive PCR); n=70",0,43,0
